TimeStamp,ECG,PPG,
20:54:59,-2,2623,
20:54:59,-3,2643,0
20:54:59,-2,2594,0
20:54:59,-1,2577,0
20:54:59,-3,2579,0
20:54:59,-3,2482,0
20:54:59,-4,2571,0
20:54:59,-8,2639,0
20:54:59,-9,2492,0
20:54:59,-2,2560,0
20:54:59,4,2519,0
20:54:59,6,2542,0
20:54:59,5,2571,0
20:54:59,2,2584,0
20:54:59,0,2639,0
20:54:59,1,2591,0
20:54:59,0,2527,0
20:54:59,0,2602,0
20:54:59,1,2575,0
20:54:59,1,2590,0
20:54:59,-1,2530,0
20:54:59,-1,2547,0
20:54:59,-1,2581,0
20:54:59,-5,2607,0
20:54:59,-6,2603,0
20:54:59,-7,2517,0
20:54:59,-9,2495,0
20:54:59,-4,2491,0
20:54:59,0,2502,0
20:54:59,2,2491,0
20:54:59,22,2402,0
20:54:59,38,2494,0
20:54:59,0,2540,0
20:54:59,-65,2629,0
20:54:59,-83,2624,0
20:54:59,-53,2559,0
20:54:59,-32,2559,0
20:54:59,-24,2569,0
20:54:59,-9,2488,0
20:54:59,1,2485,0
20:54:59,-2,2494,0
20:54:59,-3,2512,0
20:54:59,3,2381,0
20:54:59,10,2416,0
20:54:59,12,2464,0
20:54:59,10,2508,0
20:54:59,11,2590,0
20:54:59,13,2600,0
20:54:59,8,2475,0
20:54:59,2,2442,0
20:54:59,10,2449,0
20:54:59,19,2484,0
20:54:59,17,2493,0
20:54:59,17,2448,0
20:54:59,17,2537,0
20:54:59,6,2545,0
20:54:59,-5,2600,0
20:54:59,-1,2545,0
20:54:59,5,2479,0
20:54:59,9,2513,0
20:54:59,17,2469,0
20:54:59,23,2475,0
20:55:00,22,2508,0
20:55:00,24,2444,0
20:55:00,28,2453,0
20:55:00,28,2425,0
20:55:00,28,2416,0
20:55:00,29,2422,0
20:55:00,26,2468,0
20:55:00,21,2482,0
20:55:00,19,2494,0
20:55:00,16,2510,0
20:55:00,12,2468,0
20:55:00,7,2574,0
20:55:00,3,2545,0
20:55:00,0,2485,0
20:55:00,-2,2503,0
20:55:00,-5,2522,0
20:55:00,-5,2539,0
20:55:00,-4,2534,0
20:55:00,-6,2397,0
20:55:00,-6,2416,0
20:55:00,-3,2546,0
20:55:00,-5,2509,0
20:55:00,-11,2537,0
20:55:00,-8,2499,0
20:55:00,0,2518,0
20:55:00,-1,2559,0
20:55:00,-3,2776,0
20:55:00,-2,3052,0
20:55:00,-2,2927,0
20:55:00,-5,2823,0
20:55:00,-7,2734,0
20:55:00,-6,2840,0
20:55:00,-6,2949,0
20:55:00,-5,2932,0
20:55:00,-5,3031,0
20:55:00,-4,3135,0
20:55:00,-4,3054,0
20:55:00,-5,3070,0
20:55:00,-5,3017,0
20:55:00,0,3034,0
20:55:00,2,2995,0
20:55:00,1,2931,0
20:55:00,-1,2992,0
20:55:00,-2,3001,0
20:55:00,-2,3011,0
20:55:00,0,3076,0
20:55:00,-2,3118,0
20:55:00,-9,3055,0
20:55:00,-11,3145,0
20:55:00,-4,3149,0
20:55:00,-1,3085,0
20:55:00,-4,3095,0
20:55:00,-2,3144,0
20:55:00,2,3117,0
20:55:00,1,3144,0
20:55:00,-1,3046,0
20:55:00,-1,3079,0
20:55:00,-3,3253,0
20:55:00,-5,3180,0
20:55:00,-3,3132,0
20:55:00,0,3149,0
20:55:00,-3,3102,0
20:55:00,-6,3090,0
20:55:00,-6,3152,0
20:55:00,-4,3164,0
20:55:00,-4,3092,0
20:55:00,-3,3160,0
20:55:00,-3,3185,0
20:55:00,-3,3120,0
20:55:00,-3,3220,0
20:55:00,-1,3184,0
20:55:00,-1,3215,0
20:55:00,-3,3289,0
20:55:00,-3,3330,0
20:55:00,-2,3395,0
20:55:00,1,3402,0
20:55:00,4,3334,0
20:55:00,1,3352,0
20:55:00,-4,3302,0
20:55:00,-4,3339,0
20:55:00,-2,3434,0
20:55:00,-1,3365,0
20:55:00,-2,3459,0
20:55:00,-2,3432,0
20:55:00,-1,3410,0
20:55:00,-1,3465,0
20:55:00,-1,3461,0
20:55:00,-2,3504,0
20:55:00,-2,3537,0
20:55:00,-1,3590,0
20:55:00,-1,3684,0
20:55:00,-2,3578,0
20:55:00,-2,3649,0
20:55:00,-1,3650,0
20:55:00,0,3572,0
20:55:00,4,3415,0
20:55:00,7,3412,0
20:55:00,3,3645,0
20:55:00,-3,3594,0
20:55:00,-1,3734,0
20:55:00,2,3780,0
20:55:00,2,3737,0
20:55:00,1,3682,0
20:55:00,2,3655,0
20:55:00,1,3695,0
20:55:00,6,3741,0
20:55:00,31,3667,0
20:55:00,61,3755,0
20:55:00,56,3719,0
20:55:00,0,3649,0
20:55:00,-53,3677,0
20:55:00,-59,3744,0
20:55:00,-38,3872,0
20:55:00,-24,3764,0
20:55:00,-11,3734,0
20:55:00,6,3814,0
20:55:00,14,3750,0
20:55:00,17,3732,0
20:55:00,22,3762,0
20:55:00,24,3840,0
20:55:00,20,3836,0
20:55:00,19,3695,0
20:55:00,22,3740,0
20:55:00,25,3829,0
20:55:00,29,3801,0
20:55:01,32,3789,0
20:55:01,30,3762,0
20:55:01,29,3867,0
20:55:01,36,3855,0
20:55:01,41,3895,0
20:55:01,38,3844,0
20:55:01,38,3827,0
20:55:01,42,3927,0
20:55:01,44,3887,0
20:55:01,41,3922,0
20:55:01,40,3935,0
20:55:01,48,3885,0
20:55:01,55,3887,0
20:55:01,58,3716,0
20:55:01,58,3547,0
20:55:01,60,3532,0
20:55:01,59,3525,0
20:55:01,59,3560,0
20:55:01,62,3546,0
20:55:01,64,3507,0
20:55:01,59,3519,0
20:55:01,54,3562,0
20:55:01,51,3645,0
20:55:01,45,3589,0
20:55:01,34,3450,0
20:55:01,27,3472,0
20:55:01,28,3521,0
20:55:01,28,3659,0
20:55:01,23,3627,0
20:55:01,19,3692,0
20:55:01,18,3687,0
20:55:01,15,3575,0
20:55:01,9,3592,0
20:55:01,9,3566,0
20:55:01,15,3599,0
20:55:01,20,3631,0
20:55:01,20,3585,0
20:55:01,18,3657,0
20:55:01,18,3644,0
20:55:01,17,3663,0
20:55:01,16,3630,0
20:55:01,16,3640,0
20:55:01,16,3704,0
20:55:01,15,3666,0
20:55:01,14,3662,0
20:55:01,14,3701,0
20:55:01,13,3639,0
20:55:01,13,3545,0
20:55:01,14,3492,0
20:55:01,10,3676,0
20:55:01,3,3605,0
20:55:01,3,3617,0
20:55:01,8,3654,0
20:55:01,10,3610,0
20:55:01,12,3615,0
20:55:01,16,3628,0
20:55:01,12,3613,0
20:55:01,4,3681,0
20:55:01,3,3594,0
20:55:01,5,3566,0
20:55:01,4,3682,0
20:55:01,3,3579,0
20:55:01,5,3611,0
20:55:01,5,3582,0
20:55:01,2,3557,0
20:55:01,0,3474,0
20:55:01,1,3525,0
20:55:01,5,3564,0
20:55:01,5,3496,0
20:55:01,3,3464,0
20:55:01,3,3486,0
20:55:01,2,3463,0
20:55:01,0,3497,0
20:55:01,4,3295,0
20:55:01,13,3501,0
20:55:01,14,3515,0
20:55:01,11,3454,0
20:55:01,17,3466,0
20:55:01,26,3405,0
20:55:01,29,3420,0
20:55:01,27,3363,0
20:55:01,27,3298,0
20:55:01,26,3338,0
20:55:01,25,3297,0
20:55:01,26,3307,0
20:55:01,25,3315,0
20:55:01,22,3231,0
20:55:01,21,3245,0
20:55:01,22,3181,0
20:55:01,22,3164,0
20:55:01,21,3165,0
20:55:01,20,3135,0
20:55:01,16,3140,0
20:55:01,5,3088,0
20:55:01,-8,3128,0
20:55:01,-5,3011,0
20:55:01,4,3051,0
20:55:01,2,3062,0
20:55:01,0,2787,0
20:55:01,6,2876,0
20:55:01,6,2982,0
20:55:01,11,2947,0
20:55:01,34,3036,0
20:55:01,36,2980,0
20:55:01,-14,3039,0
20:55:01,-64,3020,0
20:55:01,-67,2986,0
20:55:01,-47,3005,0
20:55:01,-35,2960,0
20:55:01,-22,2979,0
20:55:01,-6,2997,0
20:55:01,2,2992,0
20:55:01,7,3014,0
20:55:01,10,2885,0
20:55:01,10,2873,0
20:55:01,11,2955,0
20:55:01,14,2896,0
20:55:01,13,2908,0
20:55:01,12,2876,0
20:55:01,15,2907,0
20:55:01,16,2829,0
20:55:01,17,2773,0
20:55:01,19,2899,0
20:55:01,21,2807,0
20:55:01,22,2689,0
20:55:02,25,2934,0
20:55:02,24,3099,0
20:55:02,21,3154,0
20:55:02,25,3098,0
20:55:02,31,3117,0
20:55:02,31,3090,0
20:55:02,32,3031,0
20:55:02,35,3118,0
20:55:02,35,3087,0
20:55:02,35,3089,0
20:55:02,37,3080,0
20:55:02,36,3105,0
20:55:02,34,3122,0
20:55:02,33,3065,0
20:55:02,31,3075,0
20:55:02,27,3090,0
20:55:02,24,3034,0
20:55:02,19,3044,0
20:55:02,12,3032,0
20:55:02,7,3105,0
20:55:02,2,3022,0
20:55:02,-4,2954,0
20:55:02,-6,2927,0
20:55:02,-7,3008,0
20:55:02,-9,3005,0
20:55:02,-9,3070,0
20:55:02,-9,3164,0
20:55:02,-13,3159,0
20:55:02,-15,3037,0
20:55:02,-11,3079,0
20:55:02,-8,3076,0
20:55:02,-8,3038,0
20:55:02,-9,3086,0
20:55:02,-10,3034,0
20:55:02,-11,3075,0
20:55:02,-10,3117,0
20:55:02,-10,3074,0
20:55:02,-12,3036,0
20:55:02,-12,2969,0
20:55:02,-13,3024,0
20:55:02,-13,2991,0
20:55:02,-13,3009,0
20:55:02,-14,3055,0
20:55:02,-15,2962,0
20:55:02,-15,3047,0
20:55:02,-16,3064,0
20:55:02,-17,3062,0
20:55:02,-16,3087,0
20:55:02,-17,3048,0
20:55:02,-19,2884,0
20:55:02,-15,2791,0
20:55:02,-11,2994,0
20:55:02,-17,3057,0
20:55:02,-24,3000,0
20:55:02,-21,3000,0
20:55:02,-15,2995,0
20:55:02,-16,3032,0
20:55:02,-17,3034,0
20:55:02,-16,2950,0
20:55:02,-16,2974,0
20:55:02,-15,3014,0
20:55:02,-11,3020,0
20:55:02,-12,3040,0
20:55:02,-15,2989,0
20:55:02,-14,2991,0
20:55:02,-13,2970,0
20:55:02,-15,2974,0
20:55:02,-17,3025,0
