I,Q
0.864857,-0.898988
-0.202253,-0.638755
-0.620801,0.604325
-0.342176,0.850279
0.628705,-0.684701
0.726522,-0.830796
0.644154,-0.318542
-0.362219,0.731751
-0.40742,0.793894
-0.355997,0.348643
0.691909,-0.76174
0.792148,-0.316405
0.779732,-0.732876
-0.511852,0.623001
-0.32557,-1.245174
0.745976,-0.752628
0.942977,-0.851817
-0.4481,0.69276
0.753988,0.558908
0.319175,0.61943
-0.747802,0.342643
-0.70432,-0.5913
0.571625,-1.094718
0.561237,-0.607927
-0.72484,-0.281881
-0.761479,0.283092
0.894237,0.463563
-0.432864,-0.939606
0.924967,-0.662415
0.678274,-0.59703
0.969205,0.815598
-0.516006,1.041873
0.461495,1.13939
0.838044,0.545461
-0.609599,-0.412414
-0.979142,0.534567
-0.94087,-1.067089
-0.200642,-0.757244
-0.599944,0.981434
0.626713,0.337481
-0.34086,0.771903
0.824032,-0.814937
-0.678529,-0.422737
-0.763484,-0.864263
-0.608383,0.665748
-0.76692,0.657555
-1.194893,0.376455
0.984639,0.830123
0.607587,-0.900645
0.469729,0.989443
0.776474,-0.673717
0.822909,-0.741794
0.914607,-0.811521
0.603939,-0.592744
-1.138609,-0.570895
-0.736253,-0.397111
-0.598279,-0.644497
-0.836636,-1.105118
0.971912,0.608857
0.742387,0.536295
0.428631,0.75517
-0.786574,0.510866
-0.808943,0.793862
-0.757015,0.653341
-1.014106,0.724007
-0.623386,0.799491
0.568986,-0.808886
0.426378,-0.827001
0.629277,-0.613842
0.720328,0.595957
0.366475,0.735069
-0.888796,0.528009
-0.35842,1.256211
-0.606433,-1.048167
-0.712219,0.573493
-0.482162,0.581678
-0.734042,0.692737
-0.774763,0.859848
-0.790903,-0.599499
-0.666192,-0.702334
-0.701618,-0.985026
-0.332974,-0.474778
0.577728,-0.521559
0.608048,-0.802054
0.833902,0.440779
-0.615371,0.999844
-1.162544,0.65191
1.087365,0.733746
-0.62221,-0.673412
-0.882913,0.471582
-0.642031,0.821494
-0.658503,-0.77624
0.472887,0.796398
-0.659132,-0.511139
-0.577327,-0.571885
-0.855148,0.623459
0.771731,0.806295
0.595911,0.724128
0.484015,-0.951704
1.014056,0.825722
0.794491,0.803661
0.328629,-0.498139
0.629386,0.703338
0.625933,0.342125
1.067771,-0.532206
0.867383,0.524478
-0.674312,0.836549
-0.507466,-1.188941
0.524586,0.596127
0.494082,-0.976829
0.816749,-0.901161
0.41645,0.546658
-0.570985,0.688933
0.297272,0.903768
-0.63941,-0.851497
0.600483,0.262889
-0.650409,0.764033
-0.696581,-0.590103
-0.473725,-0.756696
-0.775326,-0.544057
0.833743,0.772069
-0.740528,-0.528285
1.28237,-0.489501
-0.386291,-0.664744
0.764736,-0.698071
-0.570941,0.790027
-0.604225,-0.927021
-0.947053,-0.249052
-0.43427,0.816673
0.204766,0.342742
-0.659424,0.900855
-0.880588,0.752233
-0.706589,-0.575299
-0.812221,-0.826486
0.540345,1.100436
0.806658,-0.810212
0.648002,-0.553885
-0.866863,-0.896727
-0.777065,0.79541
-0.725744,-0.580522
-0.731541,-0.749978
-0.764972,-0.752206
1.021364,-0.466778
-0.275928,0.579188
