I,Q
0.770009,-0.547455
-0.724408,-0.879323
0.879882,0.960127
0.655751,-0.554703
-0.649466,0.767846
-0.794341,0.779517
-0.744227,-0.58231
-0.829264,0.786448
0.47504,0.724962
-0.886541,-0.742573
0.629472,-0.765887
0.729662,-0.700761
0.5182,-0.770133
-0.665188,-0.859391
0.745247,0.742396
0.764985,0.799863
-0.60907,0.683297
-0.755132,-0.928284
0.741423,-0.540021
0.656282,-0.719035
0.691649,0.599305
0.594416,-0.643388
0.856508,0.647627
-0.767234,-0.79237
0.553682,0.798951
0.628781,-0.667626
-0.746732,0.813819
0.755843,-0.753978
0.672795,-0.748207
0.737944,-0.632711
-0.657866,-0.556155
-0.684664,0.810534
-0.74757,0.727187
-0.797344,0.68556
0.660079,0.566433
-0.681883,-0.645427
-0.675129,0.724136
0.781987,-0.453412
-0.804008,-0.524074
-0.628257,0.705024
-0.765833,0.718627
0.719464,-0.729341
0.91264,-0.592182
0.64141,-0.736389
0.682047,0.832018
0.596396,-0.807896
0.510957,-0.810969
0.747268,-0.648396
-0.768631,-0.721223
0.573948,0.786368
0.621965,0.730056
0.50217,0.667274
0.761639,-0.526752
-0.753612,0.960236
0.640168,0.638084
-0.859851,-0.855907
0.727968,0.401603
-0.664958,-0.848853
-0.734096,0.732792
0.634099,0.587801
-0.811247,0.722248
0.515599,-0.572452
-0.718524,-0.686159
0.591718,0.728705
0.66218,-0.784723
-0.836509,-0.726922
-0.633455,0.643642
-0.749859,-0.612636
-0.727413,-0.994943
-0.705779,0.616845
-0.790384,0.853638
-0.844366,0.911408
-0.629373,-0.728605
-0.588144,0.749698
0.704902,0.672771
0.648181,-0.679456
0.739734,0.736113
0.600024,0.891303
-0.877713,-0.531689
-0.608354,-0.758549
-0.793036,0.690996
0.88649,0.624819
0.811122,-0.659235
0.688102,0.727427
0.632363,-1.019781
-0.548865,-0.948037
0.638307,0.77172
-0.795714,-0.704561
0.760826,0.616264
0.861014,0.69148
0.54651,-0.694188
-0.901309,0.665021
0.54083,0.956013
0.505847,-0.877637
-0.679142,-0.656861
-0.667325,-0.55639
0.635101,-0.413827
-0.777276,-0.877022
-0.811002,-0.512915
-0.791369,0.831172
0.487938,0.770209
-0.802815,-0.518424
0.721237,0.704362
-0.711024,-0.785251
-0.82139,0.625346
-0.750993,-0.743999
0.524724,-0.721979
-0.637063,-0.896115
-0.75308,-0.730114
0.691195,-0.53057
-0.553138,-0.481967
0.596193,-0.685673
-0.748564,0.611896
-0.664419,-0.769741
0.71322,-0.892504
0.747582,0.643941
0.771989,-0.600952
-0.73867,0.682644
0.838287,-0.824008
-0.866844,0.776713
0.704087,-0.710538
0.817327,0.547029
0.691213,0.742464
-0.829984,-0.741315
-0.651078,-0.689331
-0.67443,0.760561
-0.714865,-0.895691
-0.704439,-0.773695
0.736227,0.696703
-0.649071,0.730583
-0.789698,0.535148
0.578607,-0.754193
0.616459,-0.430727
0.856938,0.587688
0.609274,0.635206
0.782054,0.831769
0.47788,-0.659114
0.751873,0.668881
-0.809079,0.849422
0.671521,-0.855453
0.60468,0.71063
0.672151,-0.670157
0.573688,-0.631276
0.655927,-0.704025
-0.813198,0.747928
0.775996,0.782829
-0.828092,-0.644946
0.717919,0.77004
-0.720472,0.751784
0.547779,0.913764
-0.655683,-0.894304
0.817838,0.534453
-0.454915,-0.722138
0.583808,-0.571292
0.76779,0.635267
-0.83303,0.664889
0.612969,-0.653279
-0.583799,0.632449
-0.67257,-0.747639
-0.695789,-0.775512
-0.730323,-0.61746
0.80681,0.600539
0.691546,0.674635
0.836857,-0.91635
-0.651442,-0.669516
-0.893465,0.513081
0.510503,-0.828202
0.63147,-0.808678
-0.762977,-0.731142
0.898279,-0.788545
0.628605,0.731844
0.796209,0.724339
0.813514,-0.782037
-0.639167,0.703581
0.735023,-0.426903
-0.762832,-0.566011
-0.814476,-0.755038
0.748371,0.730047
0.655612,0.815174
0.758446,0.589679
0.603436,-0.673927
0.728872,-0.766941
0.822884,-0.719039
-0.543657,0.778012
0.672613,-0.462877
