I,Q
-0.840939,-0.54383
0.976789,-0.686909
0.494207,0.550285
-0.851877,-0.514592
-0.656661,-0.712822
0.817246,0.609998
-0.773966,0.48923
-0.358568,0.799025
0.650087,0.695985
-0.828554,0.520411
0.676246,0.621076
-1.016717,0.549809
0.742779,0.704134
-0.61854,-0.563541
0.751752,-0.869555
-0.459296,0.888054
0.549689,0.971381
0.459229,-0.580342
-0.705038,-0.565436
-0.794124,0.642211
0.690772,-0.672378
0.805023,-0.832597
0.827932,-1.019507
-0.475555,0.580552
0.627164,0.686659
-0.61444,-0.405377
-1.025936,0.517855
-0.730182,0.674361
0.612684,0.859435
-0.251176,0.914848
0.762243,-0.532416
-0.623441,0.710737
-0.702882,0.592399
-0.654689,0.723522
-1.135412,0.881636
0.819236,-1.05135
-0.519488,0.820336
0.697673,-0.925355
0.64621,-0.536138
0.383654,0.623081
-0.864601,-0.720705
-0.857143,0.660287
-0.846224,0.573482
0.711309,-0.729115
0.602689,-0.693926
0.774085,0.758894
0.775628,0.736468
0.988466,0.87928
-0.763545,0.527647
0.45576,0.461641
0.822801,0.71375
-0.651824,0.911611
-0.941638,0.730841
-0.72903,0.887066
-0.406404,0.580202
-0.692704,0.534286
0.892565,0.902493
-0.806404,0.426099
-0.528724,0.761182
-0.846844,-0.881844
0.867982,-0.528338
0.535675,-0.829311
1.04309,-0.333593
-0.562566,0.717629
-0.859506,-0.819035
0.851043,0.501678
-0.703187,0.472036
-0.808148,0.80277
0.808775,0.760329
0.600735,-0.719596
0.723586,-0.767351
0.820289,-1.032416
0.895487,0.566859
0.898351,-0.770623
0.721091,-0.7479
-0.861313,0.542176
-0.593303,-0.776947
-0.496271,-0.763107
0.621006,0.705864
0.595355,-0.828714
-0.647825,0.514553
0.881542,0.519247
-0.775781,-0.712045
-0.477972,-0.835623
0.683618,0.798187
0.731271,-0.931585
0.847446,-0.715834
0.927501,0.543364
0.655549,-0.551673
-0.775268,0.710983
-0.834127,-0.248001
-0.880192,0.665146
0.92017,-1.076961
-0.577079,-0.779392
0.802945,0.705314
-0.692,0.932064
-0.675181,-0.780098
0.745214,0.873174
0.667715,-0.548642
0.67553,0.686638
0.808813,-0.739294
0.878991,-0.541401
0.915916,-0.512203
-0.564813,-0.46716
-0.432124,0.701603
0.689089,-0.750662
-0.508902,0.554594
-0.399609,0.729316
0.594206,0.526635
-0.791172,-0.741727
-0.676228,0.64064
0.778942,-0.817762
-0.992076,0.431211
0.637459,-0.590328
0.285444,-0.886315
0.841451,0.593977
-0.482181,-1.152887
-0.692261,0.743174
0.822536,0.387885
-0.708488,0.709132
-0.693913,-0.719208
-0.468674,-0.696182
-0.571896,-0.887644
-0.9098,-0.643228
0.686967,0.738482
-0.661903,0.656549
-0.472489,-0.751888
-0.823552,-0.671795
-0.315898,1.141991
0.605227,-0.823898
-0.905377,0.367307
-0.601829,0.524341
0.596772,-0.685711
0.885755,0.551907
-0.668293,-0.734361
-0.629109,0.721348
-0.657006,-0.668542
0.826444,-0.52379
-0.855687,-0.99341
-0.482539,0.837115
-0.840502,0.428037
-0.658744,0.630768
-0.890945,-0.778237
0.591977,0.980764
0.589439,-0.748515
-0.793577,0.677866
0.665076,-0.736146
-0.622638,0.837194
0.640761,0.903266
0.826297,0.731338
0.766624,1.018817
0.533347,-0.873938
0.77988,1.059207
-0.458282,0.934719
-0.864073,-0.612316
0.469182,0.74126
0.613463,0.754792
0.910298,0.887097
-0.865405,0.458106
0.726601,0.562214
0.495548,-0.384905
-0.769781,-0.493297
-0.754961,-0.563144
0.662172,-0.829479
-0.718795,0.599228
0.767529,-0.681695
0.806336,-0.768009
-0.594153,0.800606
-0.809347,0.292739
-0.797727,0.614908
0.724037,-0.791855
0.604205,-0.640286
0.821665,0.355622
0.937827,-0.581923
0.740507,0.569508
0.799116,0.667409
0.6063,-0.857879
0.750952,0.766447
-0.716712,0.856803
-0.609156,-0.640732
0.749838,0.920171
0.833891,0.678983
0.692906,-0.609644
-0.648907,-0.796108
0.468258,0.555145
0.626171,0.646706
-0.544635,-0.627868
0.713818,0.842497
0.785278,0.7704
0.551801,-0.600164
-0.963218,0.841454
-0.373371,0.734833
-0.636208,-0.840375
0.545394,0.627234
-0.748719,-0.506981
-0.689101,-0.994406
0.703347,-0.950746
0.55016,-0.740499
0.501923,0.636248
-0.606194,0.324256
-0.591845,0.795226
-0.443361,-0.804887
-0.985706,-0.456109
-0.545705,0.849897
0.654976,-0.556216
0.901612,-0.721429
0.67809,0.879481
-0.666138,-0.435449
-0.852274,0.858443
0.576599,-0.621043
0.664677,-0.498612
0.464476,0.764412
-0.604123,0.614889
-0.655145,-0.437907
-0.910057,-0.697035
-0.787342,0.644635
0.437914,0.645848
0.707844,-0.861056
-0.885315,-0.610501
-0.74204,-0.506024
0.42494,0.931204
-0.52451,-0.672875
-0.614419,-0.607459
0.919153,0.772778
0.591978,-0.478411
-0.823979,-0.752012
-0.720261,0.557468
-0.577924,0.601882
0.803915,-0.805842
-0.680617,-0.617704
0.969751,0.613215
-0.922682,0.572795
-0.819842,0.479656
-0.79814,-0.691435
0.972211,1.05894
-0.665029,0.670016
-0.831294,0.780175
-0.752368,-0.476567
-0.596679,0.812674
0.746185,0.391703
-0.737868,-0.716096
0.516733,1.047014
0.584108,-0.872846
-0.715538,-0.62799
-0.410256,-0.488676
0.407873,0.82676
0.645453,0.750286
0.502522,0.684821
0.839952,0.562029
0.487469,0.821425
-0.352667,0.82154
0.560009,0.635703
-0.664956,-0.634018
0.86938,0.467127
-0.542848,0.761919
0.632171,-0.893704
0.375989,0.901202
-0.56819,0.620717
0.654855,-0.737616
-0.528849,-0.835717
0.694511,-0.627595
-0.790313,0.725606
-0.798914,-0.68144
0.643041,0.758564
-0.742092,-0.7086
-0.753022,0.722904
0.906487,-0.586777
-0.761793,0.759929
1.008764,0.495982
0.721016,-0.670666
0.782301,0.758384
0.553789,0.544909
0.492105,0.996705
0.822797,0.712064
0.819937,0.851612
-0.747859,0.889568
0.624764,0.493086
-0.676006,-0.789928
-0.575659,-0.680638
-0.71429,-0.604341
0.587413,0.543416
-0.675545,0.658431
-0.653112,0.983416
-0.658389,0.604576
-0.634617,-0.527461
-0.852943,-0.751327
-0.747093,-0.679179
-0.570526,0.618675
-0.85107,0.563277
-0.508028,0.635789
0.528272,0.732258
-0.454849,-0.972054
-0.292577,-0.463991
-0.842174,0.722069
-0.67539,0.804112
0.67879,-1.017743
-0.69086,-0.481247
-0.723283,-0.766207
-0.773223,0.747568
0.63005,-0.73471
-0.768542,0.720479
0.915361,0.703118
0.664628,0.655684
0.798224,-0.855872
0.767449,0.986738
0.875274,-0.50997
0.667882,-0.978488
0.834285,-0.855814
-0.743268,0.699177
-0.603145,0.601636
0.863105,-0.740699
-0.601861,-0.707537
1.066456,0.709165
0.636084,0.841459
-0.499815,0.539091
-0.849235,0.665532
1.011332,0.522603
-0.61264,-0.561689
-0.546425,-0.714768
0.624367,0.99091
0.627339,-0.959956
0.956599,-0.715661
0.991464,0.874985
0.666843,-0.82823
-0.585653,0.709317
-0.952236,0.768786
-0.705999,-0.764879
-1.037498,0.729465
-0.700618,-0.782404
