I,Q
-0.604079,-0.701832
0.72082,0.731865
0.73361,-0.69647
0.696319,-0.758289
-0.640983,0.659406
0.724007,-0.712597
-0.761574,0.694423
-0.717489,-0.68241
-0.649993,0.691623
0.760442,-0.644875
-0.752773,-0.638705
0.707858,0.662238
-0.755227,-0.727628
0.798352,0.716915
-0.691475,-0.720532
-0.726432,-0.71623
-0.677942,-0.744685
-0.766004,-0.697247
-0.746749,-0.783235
0.859348,-0.74631
0.712787,0.777822
0.752022,-0.792763
-0.73416,0.785469
-0.727764,-0.672945
0.586549,0.667376
0.641074,-0.671277
0.667247,0.627007
0.647994,0.661279
0.743371,0.780843
0.600645,-0.800739
0.870569,-0.654301
0.750788,-0.794991
-0.727477,-0.672298
0.758733,-0.783031
0.595494,0.69084
-0.785284,0.728752
0.711438,0.728029
-0.720918,-0.669851
0.759821,0.74501
0.720218,-0.785439
0.758763,0.647825
-0.6981,-0.737909
-0.804209,0.620091
0.686821,0.756736
-0.683953,0.834972
0.682133,0.696612
-0.746862,0.734087
-0.664642,0.654443
-0.721632,-0.653484
0.763392,-0.669276
0.744143,0.7606
-0.616909,-0.623937
-0.753467,0.769552
-0.765433,0.764834
-0.690279,-0.753892
-0.739496,0.789214
0.770137,-0.715796
-0.800494,-0.731109
0.720961,-0.692755
0.760616,0.795798
0.66854,-0.672949
0.591891,-0.775605
-0.742223,0.733058
-0.716039,0.704062
0.747243,0.646249
-0.763896,0.72058
-0.729533,-0.714128
-0.778838,0.673678
-0.630365,-0.661806
-0.713977,-0.747266
0.621349,0.686139
-0.661123,0.769094
-0.715524,-0.66816
-0.710655,-0.732776
0.693976,-0.701359
-0.730223,-0.735318
-0.801002,0.678921
-0.660783,0.725751
0.707225,-0.687547
0.646034,0.798391
0.679504,-0.700472
-0.664482,0.763736
-0.770578,-0.711471
-0.628226,0.741226
0.646862,0.699408
-0.718489,-0.692847
-0.647763,-0.777839
-0.686034,-0.648677
0.760218,-0.624333
-0.667315,0.764445
0.673419,-0.686211
0.619768,-0.699899
0.752613,0.707274
-0.802161,0.748467
0.693634,0.824621
0.677324,0.576202
-0.657695,-0.675297
0.637712,0.670648
-0.710247,-0.732522
-0.675987,-0.592869
0.587739,-0.77784
0.679552,0.677144
0.580893,0.771128
-0.776149,0.71151
-0.757418,-0.700697
0.646983,0.699282
0.692093,-0.74188
0.643175,-0.701622
0.72804,0.791461
-0.762315,0.726075
-0.639133,0.693352
0.759693,0.627365
0.707125,0.776198
0.697234,0.672848
0.611135,0.804399
0.618078,0.73619
0.690727,-0.779506
-0.721165,0.796198
0.695435,-0.742697
-0.66164,-0.716652
-0.692477,-0.766968
-0.691336,-0.591059
0.728984,-0.695784
0.66338,-0.733846
-0.785218,-0.729894
0.74799,0.802961
0.634133,-0.613565
-0.747382,0.685057
-0.796445,-0.737876
0.636513,0.677609
0.664058,-0.79315
-0.717882,-0.643318
-0.646213,0.699748
-0.714698,-0.777264
-0.669201,-0.73162
0.670143,-0.624022
0.703351,0.662758
-0.679869,-0.663892
0.774801,-0.654976
-0.657649,0.726392
0.736398,-0.661551
-0.717045,0.626919
0.695661,0.735321
0.789366,0.573784
-0.680286,-0.697406
-0.682613,0.757638
0.774291,0.797202
0.702648,0.799544
-0.712118,0.752337
-0.732614,0.670463
0.667952,0.679836
0.71337,0.685916
-0.658353,0.722036
0.692088,0.757775
-0.709767,0.683408
0.698261,0.587793
-0.70076,-0.757659
-0.752518,-0.786931
-0.778556,0.815574
0.661844,-0.721378
-0.753111,-0.761225
-0.649815,-0.801345
0.630901,-0.733682
-0.730281,-0.686363
0.701754,-0.766054
-0.604482,0.640844
0.667605,0.731013
-0.744748,0.688611
0.700406,0.691127
-0.732716,0.725274
0.648919,-0.703245
0.591789,-0.71211
-0.601249,-0.72545
0.667892,0.738327
-0.649476,0.734681
-0.664695,0.626956
0.710046,-0.642543
-0.665728,0.727953
-0.691168,-0.706955
-0.646178,-0.67982
-0.748123,-0.673048
0.684888,0.73365
-0.666433,0.749222
0.787944,-0.678277
-0.604903,0.64751
0.601671,0.709004
0.756837,-0.778781
0.689882,0.656345
0.727722,-0.650431
-0.74962,0.779321
0.628561,-0.7487
0.799858,-0.710886
0.599936,0.757223
-0.795262,-0.642593
-0.757477,0.727665
-0.718274,0.74972
-0.779195,0.66351
-0.72552,-0.699431
-0.750446,0.665018
-0.684295,0.739697
0.734077,0.713583
-0.663768,0.725018
0.725396,0.654314
0.73939,-0.792108
0.649154,0.664193
-0.712468,-0.762892
0.582006,-0.804315
0.685108,-0.714417
0.731668,-0.657577
0.818746,-0.664021
-0.701317,-0.733794
-0.7389,0.799031
0.754702,-0.604568
0.628555,-0.75115
0.743461,-0.668107
-0.835615,-0.700032
0.74962,-0.71965
-0.64959,-0.700698
0.651998,-0.67653
-0.674982,-0.671906
-0.657169,-0.794128
0.720336,-0.606698
-0.596687,0.800578
0.668929,0.66309
-0.704695,-0.605315
-0.719278,0.733186
-0.688071,0.670584
-0.725012,-0.780042
-0.775678,-0.747282
-0.608682,-0.720029
-0.690694,-0.732401
0.628496,-0.728973
0.690734,-0.783953
-0.654967,0.627109
-0.684655,-0.770972
0.766051,-0.622976
-0.708071,-0.707276
0.663901,-0.7551
-0.643342,0.758673
0.671755,0.682562
0.716398,0.704309
0.672445,-0.755694
0.749731,-0.701428
-0.623579,-0.829885
-0.73502,-0.697083
0.734848,0.650685
0.624913,0.629642
-0.713757,-0.654187
0.677748,0.619046
-0.737524,0.743079
-0.642549,-0.778325
0.80663,0.813534
0.654515,0.728073
0.596075,-0.728847
0.728564,0.821815
0.634158,0.631226
-0.627889,-0.662216
0.767458,0.788849
-0.811588,-0.641187
0.687315,0.796389
-0.714204,-0.73398
-0.68399,0.745809
0.660346,0.688317
0.655503,0.709936
-0.776096,-0.705249
-0.636513,-0.695813
-0.707147,0.786064
0.72086,-0.707151
0.609622,-0.731156
0.70077,0.789753
0.744669,0.680849
0.594335,0.776992
-0.605171,0.750678
0.671693,-0.740452
-0.652023,-0.73462
-0.696758,0.651451
0.658124,-0.658985
0.73536,0.718003
-0.812884,0.701877
-0.774693,-0.693787
0.653534,-0.649982
0.612254,0.672794
0.679345,0.69263
0.637797,-0.679601
-0.743046,-0.69505
0.743366,0.694885
-0.737104,0.720498
-0.730568,0.730978
0.752239,0.67272
0.705749,-0.650001
-0.746871,0.728098
-0.732794,-0.740646
0.654187,0.666207
-0.686627,-0.698787
-0.680163,-0.687821
0.816374,-0.681846
0.788862,0.652104
-0.767945,0.802902
-0.698515,0.704269
0.785775,-0.674489
0.614288,-0.804402
0.699384,0.708637
-0.722975,-0.799067
0.779668,0.753733
-0.781629,0.752689
0.647847,-0.696767
0.710175,-0.68296
-0.719125,0.733381
0.625845,-0.64989
0.744304,-0.669792
-0.800163,-0.710492
-0.762903,0.680954
0.70703,-0.623288
-0.764803,-0.660051
0.663631,0.694411
-0.640577,0.719563
0.764923,0.744458
0.668229,-0.814478
0.704018,-0.640981
-0.638092,-0.649411
-0.714219,0.675862
-0.695655,-0.745686
0.780909,-0.660696
0.665353,-0.681119
-0.679205,-0.809724
-0.817472,-0.706649
0.658735,0.686368
0.663662,0.693198
0.712489,-0.605768
-0.817506,-0.686211
-0.631249,-0.714784
0.64137,-0.763354
0.651885,0.790569
0.811809,0.67618
-0.750683,0.7241
0.692153,0.673675
-0.713239,-0.659228
0.784261,-0.687884
-0.672522,0.765724
0.669997,0.623298
-0.605433,0.643059
-0.825264,0.744347
-0.623156,0.674565
-0.715499,-0.616244
-0.82421,0.701623
-0.759346,-0.655177
0.715896,0.802913
0.6973,-0.675615
0.777154,-0.688852
0.706017,-0.722668
0.732361,-0.694146
-0.682909,0.767236
-0.699571,-0.785601
0.719135,0.661116
-0.649569,-0.619652
0.647683,0.715932
0.708302,0.629373
0.711541,0.675328
0.66695,0.743522
-0.69898,0.752588
0.688096,-0.677613
0.7506,0.694407
0.634311,0.741419
-0.7101,-0.790191
-0.614985,-0.758839
0.861913,0.604823
-0.676532,-0.708578
-0.68308,0.757263
-0.68159,-0.784349
0.689861,0.745634
-0.629643,-0.61776
0.676712,-0.763871
0.657525,0.703865
-0.67442,0.799717
-0.671519,-0.706553
-0.764964,-0.731487
0.610245,-0.76146
-0.651943,-0.731585
-0.656525,-0.706818
0.621924,0.69955
-0.645914,0.609478
-0.670081,0.612131
0.703813,-0.73363
-0.724315,0.667503
0.618583,-0.767589
0.66772,-0.669636
0.708448,-0.61982
-0.786164,-0.611714
0.685415,-0.777252
0.63437,0.816143
-0.792782,-0.693323
-0.635957,-0.778957
0.669862,0.793413
-0.670245,0.727528
-0.729598,0.673814
-0.683691,-0.687686
-0.855936,-0.605081
-0.666583,0.654321
-0.705548,-0.769746
0.769722,-0.699395
-0.698639,-0.636166
0.756395,-0.703824
-0.70935,-0.677893
0.601119,-0.724236
-0.774741,0.68698
0.718269,-0.631075
0.66532,0.674329
0.812413,0.679686
-0.708078,0.607474
0.70845,0.706329
0.68647,0.660708
0.70492,0.617452
0.736306,0.734007
-0.683545,0.71182
-0.703174,0.681156
-0.83502,0.721961
-0.659249,0.702925
-0.780608,0.719654
-0.687181,0.738629
-0.689317,-0.72978
0.703297,0.673735
-0.678032,-0.710322
-0.70385,-0.69575
-0.664025,-0.653588
0.610671,-0.759047
0.646166,0.770357
0.673928,-0.659337
0.712546,-0.673626
-0.748433,0.639498
-0.751513,-0.718485
-0.685319,0.719925
-0.757533,-0.715178
-0.765592,0.678696
0.653451,-0.600492
0.678939,-0.748799
-0.70425,0.786226
-0.851227,0.680409
-0.788026,-0.621306
0.759826,-0.838424
-0.692246,0.676616
0.735711,0.776508
0.652219,-0.687095
0.740377,0.776923
-0.843342,-0.663107
0.815332,-0.716949
-0.71481,0.790607
-0.811782,0.635435
-0.670751,-0.657735
0.752141,0.710384
0.670501,-0.672594
-0.646182,0.690273
0.634716,0.727447
-0.712678,-0.670223
-0.848393,0.68811
0.704608,0.715861
0.728804,0.635964
0.713867,0.773435
0.669239,-0.761821
-0.719916,0.665444
0.637396,-0.75859
0.742741,-0.712095
0.764574,-0.686394
-0.666417,0.660352
0.69123,0.746555
-0.714362,-0.628226
0.677502,-0.742119
0.690822,-0.754451
0.67618,-0.681253
-0.694015,0.59945
-0.720912,-0.687464
-0.728277,-0.632264
0.639736,0.807618
-0.676256,0.706281
-0.840012,-0.67356
-0.778727,0.719999
-0.665356,-0.739979
-0.694441,-0.776985
-0.728794,0.692162
-0.724402,-0.679667
-0.664454,0.748317
0.705704,-0.750754
-0.731624,0.740371
0.752823,0.797648
-0.627795,-0.759272
-0.75845,0.699745
0.683161,-0.812304
0.750311,-0.773941
-0.724374,-0.710901
-0.759057,0.629301
-0.73988,-0.710205
-0.709613,0.666266
-0.823722,-0.657755
0.722885,0.77208
-0.6766,-0.786922
-0.715489,-0.610523
0.813729,0.778074
-0.645856,0.71815
0.828714,-0.698039
-0.71931,0.683434
0.708468,0.711772
-0.640296,0.673811
-0.674253,-0.665882
-0.801809,-0.756936
-0.676727,0.667608
-0.675829,0.803088
-0.610823,-0.680129
-0.687407,0.742904
-0.70506,-0.699072
-0.699696,-0.788863
-0.673143,-0.687262
-0.7257,0.685696
0.728155,-0.743257
0.67937,0.814678
0.646255,-0.703211
-0.710017,0.697902
-0.684315,0.759813
-0.686197,-0.728288
-0.65307,0.7025
0.699551,0.70005
0.713449,0.784996
-0.659189,0.739493
0.69853,-0.728553
-0.737744,-0.648978
0.707402,-0.613593
0.722652,0.666867
-0.676179,-0.676358
0.633644,-0.721526
-0.73388,0.639667
0.673393,0.741418
0.631011,0.6849
-0.676285,0.763654
0.700997,0.79098
-0.596761,0.696446
0.727461,-0.653646
0.729768,-0.690601
0.685256,0.660751
-0.745665,0.785705
-0.671631,-0.716541
-0.654788,-0.614083
0.69033,-0.783954
0.733687,0.710901
0.628341,0.723992
0.701289,-0.634289
0.670297,0.725245
-0.729198,-0.561984
0.752665,0.784531
-0.701947,0.750087
0.689498,-0.652736
0.731078,0.756791
0.675786,-0.608971
-0.792113,0.679353
-0.72757,0.795518
-0.667524,0.714451
0.662776,0.693611
-0.7812,0.684929
-0.62128,0.7493
0.711344,-0.681511
-0.751491,0.645302
0.733103,-0.766624
-0.81786,-0.684257
0.580115,0.722955
0.675424,-0.728259
-0.646941,0.669647
-0.587382,0.713113
0.700178,0.685207
0.687297,-0.678435
-0.690175,0.741149
0.708259,0.678638
0.837231,-0.640642
0.666862,0.655074
-0.682952,0.789256
-0.757129,0.775689
-0.626244,-0.670636
0.678938,-0.615599
0.712324,-0.746529
-0.719534,-0.55325
-0.651409,-0.680373
0.674052,0.753328
-0.678337,0.641596
0.615885,-0.812746
0.646365,0.713373
0.6666,0.755822
-0.724748,0.730343
0.741684,-0.682377
0.748383,0.710587
0.737166,0.716621
0.784562,-0.617709
-0.619216,0.658438
-0.613291,0.729045
-0.753138,-0.785306
-0.708948,-0.781082
-0.706878,-0.726904
-0.648737,0.758563
-0.610497,-0.689703
0.707055,0.714824
0.807197,0.72985
-0.709056,-0.643072
-0.630271,-0.735981
0.63916,0.697796
0.676995,-0.792901
0.733841,0.729041
-0.602282,0.682346
-0.668412,0.600812
0.826007,-0.66556
-0.720891,0.717831
0.716171,-0.70464
0.673664,-0.693318
0.650699,-0.73977
0.708895,-0.67
-0.736066,-0.655069
-0.669782,-0.62667
