I,Q
0.618998,-0.665264
-0.793215,0.836832
0.593545,0.716958
-0.854495,-0.766618
0.645853,-0.814641
-0.6245,0.448411
0.530748,0.760598
-0.833124,0.760209
0.660042,-0.668586
0.768012,-0.637901
-0.540671,0.751559
-0.99227,-0.50837
-0.78614,0.606367
0.557514,-0.51281
-0.524048,0.843293
-0.592525,0.635928
-0.604492,-0.599975
-0.492169,-0.664407
-0.868189,0.647552
0.808284,0.768054
-0.679371,-0.968295
0.617815,0.963404
0.701811,-0.71279
0.319998,-1.065523
0.805499,0.522593
-0.3927,-0.747608
0.778551,-0.574159
0.648127,-0.850762
0.830561,0.397425
-0.83341,0.662733
0.609324,0.838319
0.748716,0.794808
-0.646213,0.666985
-0.672427,0.650775
-0.849646,-0.651909
0.655644,0.479638
0.629847,0.619363
-0.838638,-0.687745
-0.750093,0.767875
0.858269,-0.916833
0.909927,0.570916
0.955427,-0.683118
0.781168,-0.450795
-0.724472,0.722232
-0.81687,0.838792
-0.835064,-0.877268
-0.656169,-0.446796
-0.641353,0.604707
-0.796125,-0.86515
-0.820459,0.593209
-0.557261,-0.932812
0.84322,0.617522
-0.559764,-0.604159
-0.791472,-0.657285
0.718621,-0.658593
0.56418,-0.651253
0.789976,0.59908
-0.618811,-0.88046
1.038584,-0.467043
-0.673201,-0.643706
0.691905,-0.771488
0.898012,0.516398
-0.512795,-0.518719
0.634798,-0.746749
0.58679,0.639599
0.207573,-0.756761
0.714027,-0.548316
-0.652654,-0.750202
0.720818,-0.698153
0.747467,0.710363
-0.893492,-0.932846
0.794489,0.706821
-0.791066,-0.635367
-0.840525,0.611807
0.287953,-0.758965
0.756122,0.947708
-0.475167,-0.494801
0.997425,-0.710756
-0.703309,0.390677
-0.74421,0.704588
0.459794,-1.003121
-0.582127,0.800213
-0.570025,-0.9653
0.812754,0.899543
0.797811,-0.784386
0.585514,-0.583321
0.580688,-0.591427
-0.727906,0.546508
0.678878,0.723525
0.702202,0.764413
-0.571411,-0.561629
-0.856254,-0.504667
0.436854,-0.805806
0.817797,0.751718
0.832835,-0.529122
0.448461,-0.812468
-0.43823,-0.831751
0.596885,-0.427845
0.71558,-0.709891
-0.65644,-0.836101
-0.956038,0.646161
0.61899,-0.957563
-0.678592,0.830502
