I,Q
0.734166,-0.678623
-0.682799,0.764957
-0.677558,-0.689632
-0.702239,-0.679267
0.681444,0.759409
0.696344,-0.703803
0.69537,-0.701204
0.703324,0.711881
-0.660861,0.695156
-0.677005,0.712974
0.699782,-0.688598
-0.71957,0.718744
0.725029,0.717118
-0.704378,-0.727254
-0.711957,-0.699556
-0.67922,0.709174
-0.69391,0.711734
0.682105,0.732555
0.686383,0.682695
-0.717245,0.723543
-0.743758,0.709282
-0.699764,-0.731704
0.707135,-0.716949
-0.714165,0.708414
0.67024,-0.688393
0.695846,-0.726663
-0.680667,0.707942
0.715128,0.702782
0.697676,-0.681453
0.708565,-0.714349
0.727511,0.689319
-0.692968,-0.710768
0.752766,-0.733842
-0.719268,0.677898
0.686707,0.725819
-0.712824,-0.694861
-0.686595,-0.707523
-0.720904,-0.711848
0.707766,-0.747429
0.729368,0.715295
-0.716881,0.686438
0.709795,-0.675805
-0.729687,-0.705961
-0.690053,0.714279
0.705621,-0.722819
-0.737877,-0.726252
0.691121,0.721126
-0.721883,0.712952
0.697688,0.67983
0.721828,-0.681528
0.675315,0.724457
0.719898,0.663108
0.715005,0.682966
-0.681219,-0.697932
0.690511,0.670359
0.70621,0.726823
-0.701929,0.723695
-0.695443,-0.717599
-0.643198,-0.689231
0.727429,0.696651
-0.699152,-0.692378
0.727642,-0.726241
-0.692379,-0.689958
0.721063,-0.711845
0.691913,-0.715707
0.718465,-0.691498
0.716379,-0.675902
0.722192,0.684778
-0.701279,0.709312
0.72827,0.701202
-0.679218,0.696973
0.674735,0.701025
0.750436,0.700094
0.739133,-0.701969
0.717373,0.696899
0.721126,0.758069
-0.723801,0.700849
-0.711519,0.713765
-0.71054,-0.70155
-0.727658,-0.695583
-0.686774,-0.67479
0.727902,0.691225
-0.69302,0.71704
-0.676699,-0.736553
0.680003,0.745131
-0.690898,0.671187
0.739889,0.733684
-0.737196,-0.707336
-0.688814,-0.667987
-0.726254,0.735833
-0.711622,-0.694819
0.741443,-0.68903
-0.697876,0.737755
-0.677964,-0.746564
0.714888,-0.679337
0.740867,0.691939
0.712565,-0.752415
0.727091,0.709486
0.731704,0.691172
-0.654652,-0.732088
-0.713274,-0.669209
-0.693888,-0.735236
0.687616,-0.714347
0.718252,0.695298
-0.741431,0.700772
0.729177,0.738169
-0.726814,-0.710951
0.699672,0.669943
-0.677352,-0.664164
-0.69594,0.68223
0.717253,0.700799
-0.692883,0.710906
-0.677633,0.713089
0.682664,0.758958
-0.741293,0.713928
-0.702131,-0.682251
-0.720827,0.730083
-0.696387,-0.739887
-0.704902,0.696457
0.733658,-0.719086
-0.725389,-0.693688
0.702359,-0.746134
0.692576,-0.682362
-0.707996,0.701754
0.694044,0.756515
-0.72501,-0.672458
0.737384,-0.695408
-0.717345,-0.730256
-0.675158,0.708313
-0.710638,0.729108
0.697719,0.713582
0.674588,-0.70499
0.692492,-0.706323
-0.704289,-0.731168
0.69899,-0.715009
-0.707313,0.71056
0.754238,-0.687222
-0.691671,0.727481
0.666657,-0.727074
0.691476,0.695946
-0.736167,0.698887
-0.679572,0.688415
-0.671359,-0.724501
-0.714517,0.745024
-0.745174,-0.672343
-0.71765,-0.731019
0.691734,0.749108
0.697639,0.693672
-0.733853,0.700452
-0.717882,0.704584
0.68885,-0.718441
-0.719332,0.726772
-0.7241,-0.738408
0.675606,-0.692105
0.714492,-0.69498
0.730303,-0.699066
0.673009,-0.701276
0.716873,0.725614
0.715106,-0.717568
-0.697878,0.714816
-0.750119,-0.707956
0.711608,-0.707237
-0.719409,-0.733051
0.714325,-0.714537
-0.675959,-0.70444
-0.656166,0.688326
-0.726218,0.703862
0.686104,-0.6875
0.750878,0.670914
-0.738091,0.699714
0.714516,-0.715016
0.735601,-0.741757
0.706507,0.736337
-0.738869,-0.700833
0.739172,-0.685492
-0.756562,-0.725685
0.674637,0.706852
-0.733868,0.725702
0.693988,-0.739549
-0.69673,-0.760953
0.733021,0.693727
-0.699382,0.792374
0.714518,-0.69095
0.704044,0.72498
0.769227,-0.668944
0.683135,-0.728101
0.724129,0.716813
-0.706749,-0.723381
0.717911,-0.704257
0.676867,-0.743238
-0.67921,-0.744553
0.724445,-0.674536
0.748995,0.668214
0.73003,-0.711492
0.673265,-0.735096
0.74626,-0.677591
-0.663492,-0.693806
0.721998,0.691462
-0.67584,-0.693432
-0.716993,-0.659835
0.719499,0.728787
-0.671626,-0.791151
-0.693499,0.724936
0.67655,-0.707332
0.789611,0.668046
-0.70333,0.722676
-0.711505,0.648523
-0.694431,-0.709718
-0.690227,-0.702368
-0.706171,0.697755
-0.752358,0.696317
0.739338,0.698759
0.677643,-0.66925
-0.733071,0.673678
-0.704833,0.718542
-0.666738,0.726188
-0.667369,0.722931
0.703974,0.723158
-0.702885,0.712636
-0.727644,0.738753
0.723142,-0.669252
0.73525,0.679854
-0.733638,-0.749311
0.677139,-0.711925
0.692177,-0.688567
0.68029,0.693756
-0.712175,0.706165
0.732726,-0.690966
0.687888,-0.723806
0.711095,-0.68928
-0.682682,-0.719021
0.675108,-0.690036
0.722382,-0.709895
-0.695305,-0.720921
0.7103,0.676685
0.707376,0.719027
0.706867,0.724443
-0.689682,0.758691
0.745015,-0.689608
-0.667883,0.736817
-0.747136,-0.70896
0.756443,-0.71288
-0.682917,0.684065
0.68115,0.742885
-0.71892,-0.704624
0.70291,0.684725
-0.638787,-0.688301
-0.679312,-0.674419
0.734841,0.713195
-0.71646,0.683783
-0.711519,-0.686928
0.721105,0.728838
-0.740822,-0.675691
0.711284,0.682829
-0.75289,0.683698
-0.717061,-0.690415
0.699339,-0.687637
